"","POINT_ID","sci12_010_1km","sci13_010_1km","sci14_010_1km","sci15_010_1km","sci16_010_1km","sci17_010_1km","sci18_010_1km","sci19_010_1km","sci20_010_1km","sci21_010_1km","sci11_1040_1km","sci12_1040_1km","sci13_1040_1km","sci14_1040_1km","sci15_1040_1km","sci16_1040_1km","sci17_1040_1km","sci18_1040_1km","sci19_1040_1km","sci20_1040_1km","sci21_1040_1km","sci11_4070_1km","sci12_4070_1km","sci13_4070_1km","sci14_4070_1km","sci15_4070_1km","sci16_4070_1km","sci17_4070_1km","sci18_4070_1km","sci19_4070_1km","sci20_4070_1km","sci21_4070_1km","sci11_GT70_1km","sci12_GT70_1km","sci13_GT70_1km","sci14_GT70_1km","sci15_GT70_1km","sci16_GT70_1km","sci17_GT70_1km","sci18_GT70_1km","sci19_GT70_1km","sci20_GT70_1km","sci21_GT70_1km"
"167","EMPAID_L06",0.0293341,0.0293341,0.0586682,0.0586682,0.0293341,0.0586682,0.1173365,0.0880023,0.1466706,0.2053388,4.4587855,4.8401289,5.3681431,5.8961573,5.9254913,7.2748609,7.2455263,7.5095334,7.6268702,7.333529,7.4508653,44.9398651,48.4599571,50.8066864,53.0654144,53.9454384,52.3907318,52.5373993,53.2120857,52.9774132,53.7401009,53.2707558,44.0011749,40.0997353,37.2249908,34.4089165,33.4995613,33.7342339,33.5875626,32.5902023,32.7368736,32.2088585,32.5022011
"168","EMPAID_L07",0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.1173365,0.1173365,0.1760047,0.264007,5.8081551,6.3948374,6.6001759,7.0401878,7.3628631,8.6242304,8.9469051,9.2109127,9.4162512,9.357583,9.4455853,47.2865944,49.5453224,51.7747154,54.0334396,54.7081261,52.5373993,52.6840706,53.4760933,53.4174232,53.8867722,53.6814308,39.6890602,36.8436508,34.4089165,31.6808453,30.683485,31.5928421,31.094162,29.9794655,29.8327961,29.3634491,29.3927841
"169","EMPAID_L08",0,0,0.0293341,0.0293341,0,0.0293341,0.0880023,0.0880023,0.1466706,0.2053388,8.6242304,9.328249,9.4749193,9.7389259,11.0002937,12.7603407,13.0830154,13.4350252,13.2590199,13.1710176,13.2883539,49.8973312,50.9826927,52.5960693,52.8014069,54.8254623,52.9187431,53.0360794,53.6814308,54.1214447,54.7667923,54.4734535,33.5582275,31.7688465,30.0088005,29.5101204,26.224699,26.4007034,25.9313583,24.87533,24.6113224,23.995306,24.1126423
"170","EMPAID_L09",0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.1173365,0.1173365,0.1760047,0.264007,8.8295689,9.5922556,9.768261,10.0029335,10.3842773,12.3203287,12.7016716,13.2003517,13.2883539,13.4936934,13.6990318,50.1026688,50.4253464,51.6867104,53.2707558,54.0627747,51.5693741,51.5400429,52.009388,52.0387192,52.3027267,51.9507179,33.5582275,32.4728661,31.0354939,29.1874447,28.01408,28.5714283,28.1900845,27.1633911,27.0460548,26.5180397,26.5767078
"171","EMPAID_M05",0,0,0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.0880023,0.2053388,12.0269871,12.6723375,13.8750362,15.7817545,16.6324444,20.9738922,21.6779118,23.3206215,23.555294,23.5846291,23.8193016,53.6227646,53.8867722,53.7987671,56.2921677,56.1161613,51.9213829,52.2733955,51.4227028,51.5400429,52.2733955,52.0387192,30.8301563,29.9207973,28.8061008,24.4059849,23.7313004,23.555294,22.4992676,21.7072449,21.3259029,20.5338802,20.416544
"172","EMPAID_M06",0,0,0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.0586682,0.1466706,11.2056322,11.3229685,11.8509827,13.8163681,14.7550602,17.5711346,18.0404816,18.5978298,18.8911705,18.8031673,19.0378418,59.6362572,59.6655922,59.4015846,61.5429764,60.8682899,57.5242004,57.6415367,57.2601929,57.0255203,57.4361992,56.9668541,26.8407154,26.694046,26.4300385,22.3232613,22.0592556,22.5579357,21.9712524,21.795248,21.7072449,21.3845711,21.5312405
"173","EMPAID_M07",0,0,0,0.0293341,0,0.0293341,0.0293341,0.0293341,0.0293341,0.0293341,10.3256083,10.4136114,10.9122906,12.7603407,14.4323845,17.1017895,17.4244652,17.6884708,17.6591377,17.3071289,17.4537983,59.7535934,59.9295998,59.5775871,61.7189789,61.4843063,59.1375771,59.4015846,59.4015846,59.5482559,59.958931,59.4309196,25.9313583,25.6673508,25.5206814,21.5312405,20.0645351,19.7711945,19.1551781,18.8911705,18.7738342,18.7151661,19.0965099
"174","EMPAID_1WS01",0,0,0,0,0,0,0.0293341,0.0293341,0.0586682,0.0880023,11.4109707,12.2323265,12.907011,13.1123495,14.1390438,16.9257851,16.9844532,17.1311226,16.8377819,16.6617775,16.7204456,61.9829865,62.9510117,62.8630104,63.4203568,66.0604248,63.537693,63.7723656,63.4790268,64.0950394,64.2417145,64.0950394,21.7365799,19.9471989,19.3605156,18.5978298,14.9310646,14.667058,14.3737164,14.4910526,14.1683779,14.1683779,14.227046
"175","EMPAID_1WS10",0.0293341,0.0293341,0.0586682,0.0880023,0.2053388,0.264007,0.2933412,0.3520094,0.49868,0.5280141,18.216486,19.3018475,20.1818714,20.8565559,21.6192436,22.9686127,23.7313004,24.0833092,24.024641,24.2006454,24.435318,56.7028465,56.6148415,56.2041664,55.7054863,55.2948074,52.9774132,52.6254044,52.1560593,52.2733955,52.1267242,51.7453804,9.4162512,8.418891,7.9495454,7.7442064,7.3628631,8.2135525,7.7442064,7.8322086,7.7148724,7.5388675,7.6562042
"176","EMPAID_1WS02",0,0,0,0,0,0,0.0586682,0.0586682,0.0880023,0.0880023,12.1736584,12.907011,13.8163681,14.0217075,15.1657381,17.6004696,17.6884708,17.805809,17.805809,17.6298027,17.8644772,64.5937195,65.5030823,65.2977448,65.8257523,68.1138153,65.4444122,65.7964249,65.3270721,65.7670898,65.9137573,65.6790848,19.6538582,18.0111465,17.3071289,16.5737762,13.1416836,13.3763571,12.9363451,13.2296858,12.7896748,12.7896748,12.7896748
