POINT_ID,sci12_010_1km,sci13_010_1km,sci14_010_1km,sci15_010_1km,sci16_010_1km,sci17_010_1km,sci18_010_1km,sci19_010_1km,sci20_010_1km,sci21_010_1km,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,sci11_4070_1km,sci12_4070_1km,sci13_4070_1km,sci14_4070_1km,sci15_4070_1km,sci16_4070_1km,sci17_4070_1km,sci18_4070_1km,sci19_4070_1km,sci20_4070_1km,sci21_4070_1km,sci11_GT70_1km,sci12_GT70_1km,sci13_GT70_1km,sci14_GT70_1km,sci15_GT70_1km,sci16_GT70_1km,sci17_GT70_1km,sci18_GT70_1km,sci19_GT70_1km,sci20_GT70_1km,sci21_GT70_1km
EMFWOR_RIMT1-05,0,0.0293341,0,0.0586682,0.0586682,0.0586682,0.1466706,0.5280141,0.7040188,0.8506894,22.9392776,22.7046051,22.1472569,21.5605755,20.8565559,19.4778519,19.8885307,36.2569656,45.2918739,43.9718399,41.8304482,72.3085938,72.3085938,72.6019363,72.8659439,72.8659439,70.4018784,71.9859161,59.3722496,50.3666763,51.7160454,53.7987671,2.6694045,2.9040775,3.1387503,3.4907598,4.1361103,7.9788795,5.9841595,2.1413903,1.7307128,1.5253741,1.4373716
EMFWOR_RIMT1-06,0.0293341,0.0586682,0.0293341,0.0880023,0.0880023,0.0880023,0.1760047,0.5866823,0.7333529,0.8506894,21.6192436,21.1205635,20.5338802,19.8591957,19.2725143,18.3631573,18.6858311,34.6142578,41.2437668,40.3930779,38.4276924,73.8339691,73.9219742,74.4793167,74.8019943,74.8019943,72.2205963,73.8046341,61.5429764,54.8547974,55.8228226,57.7002068,2.6987386,3.1094162,3.1094162,3.4907598,4.018774,7.5095334,5.6028161,1.8480493,1.4960399,1.2320329,1.2026987
EMFWOR_RIMT1-07,0.1173365,0.1466706,0.1173365,0.1760047,0.1760047,0.1760047,0.264007,0.6453505,0.7920211,0.9093576,21.5899086,21.0325603,20.445879,19.3605156,18.7151661,17.1017895,17.4537983,37.2249908,42.4464645,40.8624229,38.8970375,73.4819565,73.6579666,74.0686417,74.8019943,74.9486618,72.6899414,74.8313293,59.078907,53.8281021,55.4708138,57.2895279,3.1974187,3.5787621,3.7254326,4.1067762,4.5467877,8.418891,5.9254913,1.8187152,1.4667058,1.261367,1.290701
EMFWOR_SAGT1-10,0.4106776,0.3520094,0.3813435,0.3813435,0.4106776,0.4106776,0.5573482,0.6453505,0.7333529,0.6160164,25.9606915,26.1660309,25.3446751,25.2860069,24.7579937,23.8779697,28.6594315,51.2467003,50.5133476,50.3373413,48.6359634,69.8151932,69.5511856,70.4605484,70.4605484,70.9885559,71.076561,66.7644501,44.7051926,45.350544,45.4092102,47.2865944,0.4106776,0.4693458,0.4400117,0.4693458,0.4693458,1.2320329,0.762687,0.0880023,0.0880023,0.1173365,0.0586682
EMFWOR_BGCT1-05,0,0,0,0,0.0293341,0.0293341,0.0293341,0.0586682,0.3813435,0.4400117,28.6007633,28.7767677,28.7180996,28.8354359,28.5714283,28.9527721,29.3927841,30.4781456,38.8677025,40.1877365,40.041069,61.4549713,61.5429764,61.5136414,61.3083,61.5136414,58.6095619,58.9909058,59.2549133,52.1267242,51.070694,51.3347015,3.5787621,3.314755,3.4027574,3.4907598,3.549428,6.0428276,5.2214727,3.8721032,2.5814021,1.9947199,1.8187152
EMFWOR_BGCT1-06,0,0,0,0,0.0293341,0.0293341,0.0293341,0.0880023,0.3813435,0.4106776,25.1686707,25.7553539,25.7553539,25.9900265,25.5500145,26.9873867,27.4567318,28.6007633,36.2276344,37.811676,37.5183334,65.7084198,65.2390747,65.1217346,64.828392,65.1510696,60.9562912,61.3669701,61.6603127,55.3828087,54.0041084,54.5321198,3.5787621,3.4614255,3.5787621,3.6374304,3.7547667,6.4828396,5.6028161,4.1654444,2.7574069,2.2587268,1.9947199
EMFWOR_BGCT1-07,0,0,0,0,0.0293341,0.0293341,0.0586682,0.1466706,0.4400117,0.4400117,21.0618954,21.7072449,21.6485767,21.9419193,21.5899086,23.4086246,24.0539742,25.0806694,32.7075386,34.1155777,34.2915802,69.8738632,69.4631882,69.4045181,69.0525055,69.3458481,64.447052,64.5937195,65.2097397,58.9615707,57.9055443,58.1402168,3.6667645,3.4320915,3.549428,3.6080961,3.6667645,6.7175126,5.9254913,4.2534466,2.786741,2.1413903,1.7307128
EMFWOR_BGCT1-08,0,0,0,0,0.0293341,0.0586682,0.0880023,0.264007,0.5280141,0.5280141,19.7711945,20.1232033,20.416544,21.0618954,20.7978878,21.5312405,22.4112644,23.4672928,30.7421532,31.6515102,31.8275146,71.8099136,71.5752411,71.135231,70.4605484,70.724556,65.9430923,65.9137573,66.70578,60.9269562,60.3109398,60.5456161,4.018774,3.9014373,4.0481081,4.0774422,4.0774422,8.0962162,7.2161922,5.338809,3.6667645,3.1094162,2.6987386
EMFWOR_BGCT1-09,0,0,0,0,0.0293341,0.0293341,0.0586682,0.2346729,0.5573482,0.5280141,20.6512165,21.2378998,21.3259029,22.0299206,21.8245811,22.4699326,23.4672928,24.6699905,32.6195374,33.7048988,33.5288925,70.6952209,70.1378708,69.9912033,69.1991806,69.3165131,64.8577271,64.7697296,65.5324173,59.078907,58.3455544,58.9615707,3.9307716,3.9014373,3.9601057,4.0481081,4.1361103,7.9202113,7.0108538,5.0161338,3.3440893,2.6694045,2.2587268
EMFWOR_BGCT1-10,0.0293341,0,0,0,0.0293341,0.0293341,0.0586682,0.3813435,0.762687,0.762687,21.3552361,22.23526,22.4112644,22.9392776,22.7926083,23.9659729,25.4033432,27.2807274,35.552948,36.462307,36.462307,68.6124954,67.8204727,67.5564651,67.0871201,67.0871201,63.6843643,62.6283379,62.0416527,54.6201248,53.5347595,53.7694321,2.7280726,2.6400704,2.7574069,2.6987386,2.8454092,5.0454679,4.6641245,3.3440893,2.1707246,1.9653858,1.7307128
