Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR602_03_2015-06-06,WHWO,U,V,50_150,D,2,30,WHWO DR at 230 degrees,DU
TR602_04_2011-05-23,WHWO,F,V,0_50,C F,999,999,,DU
TR602_04_2011-06-09,WHWO,M,A,0_50,C,999,999,,DU
TR602_04_2012-05-08,WHWO,M,A,ovr_150,C D,1,55,WHWO to SW,DU
TR602_04_2012-07-02,WHWO,P,A,50_150,C D,1,0,"Just before arriving at 4, male rattled and flew in. 4 min. later agitated drumming and rattles from female 200' W. Male rattled in response and flew to female. 12 min. after 1st detection they drove of a CORA. Nest located at 0825.",DU
TR602_04_2013-06-07,WHWO,U,A,50_150,C,4,29,,DU
TR602_04_2013-06-07,WHWO,F,A,0_50,C,0,5,,DU
TR602_04_2015-05-05,WHWO,M,V,0_50,D F,2,18,Heard bark scraping,DU
TR602_04_2015-06-06,WHWO,U,A,ovr_150,D,4,20,"WHWO DR at 210 degrees, persistent but not advancing",DU
TR602_07_2013-06-07,WHWO,M,A,50_150,C,3,30,Rattle @ 240 Deg.,DU
TR602_07_2013-06-07,WHWO,M,V,0_50,D,3,0,"flew in, drum at snag top",DU
TR602_07_2013-06-07,WHWO,F,V,0_50,C FL P,2,55,Located nest @ 0723.,DU
TR602_09_2013-06-07,WHWO,M,V,0_50,FL,3,5,"Flew to top 2/3 of PSME, waited, then drummed. F @ 1130 673650-5299305, Pair @ 1139 673650-5299448.",DU
TR602_10_2014-05-01,WHWO,M,V,999,F,,,"After pt. 10 playback, 100m @ 210 deg; Male WHWO foraging, last seen at UTMs 674593/5299470",AF
TR607_01_2011-06-07,WHWO,F,A,ovr_50,F,999,999,,DU
TR607_01_2013-05-06,WHWO,U,V,0_50,D P,0,17,"FLEW IN, perched drummed, flew off",DU
TR607_01_2013-06-03,WHWO,M,V,0_50,D,1,30,Male flew into a nearby snag and drummed loudly.,DU
TR607_01_2014-05-05,WHWO,P,A,0_50,C,4,7,,DU
TR607_01_2014-06-03,WHWO,P,A,50_150,C P,3,10,"pair could be same as point 2, but identified 2 birds, 1 male, 1 female",DU
TR607_02_2013-05-06,WHWO,U,A,50_150,D,4,29,drumming,DU
TR607_02_2014-06-03,WHWO,U,A,50_150,C,2,30,sex unknown,DU
TR607_02_2014-06-03,WHWO,F,A,0_50,P,1,50,"same bird? grating sound, maybe a pair but never saw second bird",DU
TR607_03_2011-05-09,WHWO,P,A,ovr_50,F,999,999,,DU
TR607_03_2013-05-06,WHWO,U,A,50_150,D,4,29,drumming,DU
TR607_03_2014-05-05,WHWO,U,A,0_50,C,0,39,,DU
TR607_04_2013-05-06,WHWO,U,A,50_150,D,2,53,drumming,DU
TR607_04_2013-06-03,WHWO,P,A,0_50,C F,0,30,"pair flew in to tree, greeted each other with a call, male flew away, female stayed around and foraged on the trees",DU
TR607_04_2014-05-05,WHWO,F,V,0_50,P,1,37,think it is a different WHWO than from one detected at pt 3,DU
TR607_05_2012-05-16,WHWO,U,A,ovr_150,C,2,34,,DU
TR607_05_2013-05-06,WHWO,F,V,50_150,C,4,29,visual detection,DU
TR607_05_2015-06-15,WHWO,F,V,0_50,F,3,54,,DU
TR607_06_2011-05-09,WHWO,M,A,ovr_50,F,999,999,,DU
TR607_06_2011-06-07,WHWO,U,A,0_50,P,999,999,,DU
TR607_06_2012-06-21,WHWO,U,A,ovr_150,C,3,24,,DU
TR607_06_2013-06-03,WHWO,F,A,0_50,C F P,4,29,female flew to nearby pipo and called just as we were starting the survey,DU
