ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
LKV-0427,46.3479042,47.1399231,46.4945717,45.350544,45.1158714,46.9932518,47.2279243,46.4065704,45.4385452,43.7958336,59.3722496,0,0,0,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188,0.7040188
LKV-0428,53.6814308,53.5054283,53.1534157,52.5080681,52.0680542,53.6520958,53.388092,52.5667343,51.6573792,49.6333237,53.8281021,0,0,0,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807,6.7761807
LKV-0429,45.6732178,45.7318878,45.9958916,45.761219,45.8785553,44.6758575,45.6438828,44.9398651,42.8864784,40.5397491,40.7157516,0,0,0,4.4001174,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019,5.0748019
LKV-0430,37.1369896,37.4889984,37.8996773,38.6917,39.2783813,39.1317101,41.1557655,41.2437668,40.7157516,39.4250526,38.0463486,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0431,41.2731018,42.241127,42.7104721,43.4438248,43.8545036,43.4144897,44.6465225,44.3825188,43.9131699,43.3264885,42.4171295,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0432,47.990612,47.6386032,47.6679382,47.4626007,46.641243,46.641243,46.7292442,46.2305679,44.5291862,43.5024948,42.4464645,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0433,32.5022011,31.3875046,30.8301563,30.4194775,29.7447929,29.304781,29.0701084,28.894104,28.1020832,27.3100624,26.3127022,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0434,18.216486,18.1284828,17.7178059,17.4244652,17.365797,16.8671169,16.6031094,16.4857731,16.2217655,16.3097687,15.987093,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0435,15.9284248,15.8697567,15.6644173,15.6057491,15.4590788,14.9310646,14.7843943,14.6963921,14.6083899,14.6083899,14.3737164,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0436,13.3763571,13.1416836,12.9363451,13.0243473,12.4963331,12.4963331,12.1736584,12.1149893,12.1443243,11.8803167,12.0563211,0,0,0,0,0,0,0,0,0,0,0,0,0
LKV-0437,12.2909946,12.0563211,11.9389849,11.6163101,11.3523026,11.4696388,11.2056322,11.0589619,10.7362862,10.9416246,15.8404226,0,0,0,0,0,0,0,0,0,0,0,0,0
