ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
PAY-0728,15.6644173,15.9577589,15.9577589,16.1337643,16.2511005,20.445879,20.6805515,20.8565559,20.4752121,20.445879,20.445879,0,0,0,0,0,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007,0.264007
PAY-0729,11.8509827,11.4403048,11.0882959,10.8829565,10.7069521,16.8084488,16.9257851,17.1897926,16.5444412,16.1924324,15.8404226,0,0,0,0,0,6.3948374,6.3948374,6.3948374,6.3948374,6.3948374,6.3948374,6.3948374,6.3948374
PAY-0730,6.1894984,6.0428276,6.1014962,6.1308303,6.4828396,12.4669991,13.0830154,13.5816956,13.347023,13.5523615,13.7283659,0,0,0,0,0,2.5814021,2.5814021,2.5814021,2.5814021,2.5814021,2.5814021,2.5814021,2.5814021
PAY-0731,3.7254326,3.5787621,3.9307716,4.018774,4.1654444,5.338809,5.6028161,5.7494864,5.8961573,5.9254913,6.1014962,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0732,2.3173952,2.3760633,2.4933999,2.4640658,2.6694045,4.0774422,4.3414493,4.4294515,4.5174537,4.4294515,4.2241125,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0733,6.6881785,6.7175126,7.0108538,7.0695219,7.12819,9.7095919,10.2962742,10.5309477,10.4722795,10.6189499,10.5016136,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0734,6.6881785,6.8348489,7.0401878,6.9521852,7.0108538,8.5362272,9.0349073,9.7095919,9.797595,9.797595,9.7389259,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0735,5.3094749,5.4268112,5.6028161,5.778821,5.8668232,8.1842184,8.448225,8.9469051,9.0642414,9.1229095,9.1229095,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0736,28.1900845,27.9554119,27.8087406,27.5153999,27.7207394,31.4755058,31.3581696,31.2701664,31.0354939,30.9181576,30.5661488,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0737,43.6491623,43.3558235,43.0038147,42.9451447,42.7691422,45.8785553,45.350544,45.1158714,44.7931938,44.5585213,43.8251686,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0738,33.8222351,33.29422,32.7368736,32.3848648,31.8275146,31.7395134,31.3581696,30.9768257,30.4194775,30.0088005,29.0994434,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0739,35.3182755,34.5555878,34.1155777,33.7342339,33.1475525,33.4995613,32.9715462,32.7075386,31.9155178,31.4168377,30.7128181,0,0,0,0,0,0,0,0,0,0,0,0,0
PAY-0740,26.3713703,26.1366978,26.1953659,25.9313583,25.6380177,26.1953659,25.9313583,25.8433552,25.5206814,25.4620132,25.1980057,0,0,0,0,0,0,0,0,0,0,0,0,0
