ID,sci11_1040_1km,sci12_1040_1km,sci13_1040_1km,sci14_1040_1km,sci15_1040_1km,sci16_1040_1km,sci17_1040_1km,sci18_1040_1km,sci19_1040_1km,sci20_1040_1km,sci21_1040_1km,Thin0211,Thin0212,Thin0213,Thin0214,Thin0215,Thin0216,Thin0217,Thin0218,Thin0219,Thin0220,Thin0221,Thin0222,Thin0223
MAL-0394,32.5022011,32.1208572,31.1821651,30.4488125,30.8008213,32.6488724,33.29422,33.29422,33.0595474,32.8542099,33.1768837,0,0,0,0,0,0,0,0,0,0,0,12.1443243,14.7550602
MAL-0395,45.0865364,45.4678802,45.7025528,45.9078903,46.3479042,47.4919319,47.5212669,47.579937,47.1692581,47.4626007,48.1666183,0,0,0,0,0,0,0,0,0,0,0,16.0457611,16.0457611
MAL-0396,42.211792,42.6518059,43.0331459,43.6784973,44.2945137,45.6438828,46.2892342,46.2598991,46.3479042,47.0519218,48.8119698,0,0,0,0,0,0,0,0,0,0.8800235,0.8800235,25.9900265,28.6007633
MAL-0397,38.1930199,38.0756836,38.0463486,38.1636848,39.3957176,41.7131119,42.182457,41.9771194,41.8891182,42.241127,42.8278084,0,0,0,0,0,0,0,0,0,0.6746846,0.6746846,13.2003517,20.7978878
MAL-0398,36.3449707,36.0516281,35.9636269,35.9636269,37.4596672,38.2516861,38.3103561,38.2810211,38.1636848,38.1343498,38.5450287,0,0,0,0,0,0,0,0,0,0,0,0,4.3414493
MAL-0399,33.1182175,33.1182175,33.29422,33.323555,34.1155777,34.0862427,34.3209152,34.3795853,34.5262527,34.5555878,34.8489304,0,0,0,0,0,0,0,0,0,0,0,0,3.9307716
MAL-0400,33.2355537,32.8542099,33.0302124,32.8248749,33.2648888,33.7635689,34.8195953,34.4969215,34.8195953,34.7609253,34.7609253,0,0,0,0,0,0,0,0,0,0,0,0,1.789381
MAL-0401,36.2276344,36.3156357,36.2276344,36.4036369,37.4889984,39.3077164,40.3637428,40.1877365,40.011734,39.6010551,39.7183914,0,0,0,0,0,0,0,0,0,0,0,0,5.6908183
MAL-0402,35.0249329,35.0249329,34.8782616,35.1129379,36.0222931,41.0677605,42.241127,42.6224709,42.211792,41.8891182,42.4757996,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,0.5573482,8.9175711,16.6324444
MAL-0403,31.5048409,30.9768257,30.4781456,30.0381336,30.0381336,37.3423309,38.3396873,37.5183334,36.6969795,36.2863007,36.4916382,0.2346729,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,2.3760633,14.5203876,14.5203876
