"","Point_ID","Transect_ID","Year","Trt_150","Tave_wt","Tave_sp","PPT_wt","PPT_sp","Trees_2550","PIPO_2550","Trees_50","PIPO_50","pPIPO","YR_Treated","period","Ha","Bu","SHDI","no_canopy","low_canopy","med_canopy","high_canopy","high","low"
"23","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0293341,31.9741859,53.2120857,2.2293928,55.4414785,32.00352
"24","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0293341,31.8861828,53.2707558,2.2587268,55.5294826,31.9155169
"25","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0880023,33.7048988,49.2226448,4.4294515,53.6520963,33.7929011
"26","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0880023,34.4382515,49.1053085,3.8134351,52.9187436,34.5262538
"27","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,150,75,32.5,27.5,0.645161290322581,2020,"pre",0,0,0,0.0880023,35.4062767,49.1933136,2.7574069,51.9507205,35.494279
"28","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2019,"U",-2.7,4.5,256,239,150,75,32.5,27.5,0.645161290322581,2020,"pre",11.9390001,0,0,0.1466706,41.331768,43.8838387,2.0827222,45.9665609,41.4784386
"29","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,150,75,32.5,27.5,0.645161290322581,2020,"pre",26.4594002,0,0.683359,0.2346729,42.4757996,43.2091522,1.5253741,44.7345263,42.7104725
"30","EMFWOR_BGCT1-03","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,150,75,32.5,27.5,0.645161290322581,2020,"pre",26.4594002,26.4594002,0.683359,0.3813435,42.7104721,43.0918159,1.261367,44.3531829,43.0918156
"31","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0293341,30.2141399,57.9055443,3.0507481,60.9562924,30.243474
"32","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2013,"U",-3,5,174,124,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0293341,30.1261368,57.9642105,3.0800822,61.0442927,30.1554709
"33","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2014,"U",-0.7,5.5,154,145,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0293341,30.0968018,57.9348793,3.1387503,61.0736296,30.1261359
"34","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2015,"U",1.5,6,176,215,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0293341,29.8034611,58.1988869,3.1680844,61.3669713,29.8327952
"35","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2016,"U",-1.1,5.8,285,179,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0880023,29.9501324,55.58815,5.573482,61.161632,30.0381347
"36","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2017,"U",-3.5,5.1,349,146,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0880023,30.6248169,55.6468163,4.8401289,60.4869452,30.7128192
"37","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2018,"U",-0.7,4.8,96,208,125,125,17.5,17.5,1,2020,"pre",0,0,0,0.0880023,31.563509,55.9401588,3.6080961,59.5482549,31.6515113
"38","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2019,"U",-2.7,4.5,256,239,125,125,17.5,17.5,1,2020,"pre",16.4270992,0,0,0.1466706,39.2490463,49.3399811,2.4640658,51.8040469,39.3957169
"39","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2020,"H",-1,4.9,176,132,125,125,17.5,17.5,1,2020,"pre",33.6755981,0,0.680247,0.3226753,40.4517441,48.5479622,1.8773834,50.4253456,40.7744194
"40","EMFWOR_BGCT1-04","EMFWOR_BGCT1",2021,"HB",-1.5,4.9,145,88,125,125,17.5,17.5,1,2020,"pre",33.6755981,33.6755981,0.680247,0.3813435,40.5104141,48.6946335,1.6133764,50.3080099,40.8917576
"41","EMFWOR_BGCT1-05","EMFWOR_BGCT1",2012,"U",-1.7,4.6,123,201,83.3333333333333,41.6666666666667,35,27.5,0.666666666666667,2020,"pre",0,0,0,0,28.7767677,61.5429764,3.314755,64.8577314,28.7767677
"42","EMFWOR_BGCT1-05","EMFWOR_BGCT1",2013,"U",-3,5,174,124,83.3333333333333,41.6666666666667,35,27.5,0.666666666666667,2020,"pre",0,0,0,0,28.7180996,61.5136414,3.4027574,64.9163988,28.7180996
